symbol,security_id,name,exchange_segment
SUNPHARMA,3351,Sun Pharmaceutical Industries Ltd.,NSE_EQ
SUNTV,13404,Sun TV Network Ltd.,NSE_EQ
SUPREMEIND,3363,Supreme Industries Ltd.,NSE_EQ
SUZLON,12018,Suzlon Energy Ltd.,NSE_EQ
SWANCORP,27095,Swan Corp Ltd.,NSE_EQ
SWIGGY,27066,Swiggy Ltd.,NSE_EQ
SYNGENE,10243,Syngene International Ltd.,NSE_EQ
SYRMA,10793,Syrma SGS Technology Ltd.,NSE_EQ
TARIL,15174,Transformers And Rectifiers (India) Ltd.,NSE_EQ
TATACAP,759265,Tata Capital Ltd.,NSE_EQ
TATACHEM,3405,Tata Chemicals Ltd.,NSE_EQ
TATACOMM,3721,Tata Communications Ltd.,NSE_EQ
TATACONSUM,3432,Tata Consumer Products Ltd.,NSE_EQ
TATAELXSI,3411,Tata Elxsi Ltd.,NSE_EQ
TATAINVEST,1621,Tata Investment Corporation Ltd.,NSE_EQ
TATAPOWER,3426,Tata Power Co. Ltd.,NSE_EQ
TATASTEEL,3499,Tata Steel Ltd.,NSE_EQ
TATATECH,20293,Tata Technologies Ltd.,NSE_EQ
TBOTEK,23740,TBO Tek Ltd.,NSE_EQ
TCS,11536,Tata Consultancy Services Ltd.,NSE_EQ
TECHM,13538,Tech Mahindra Ltd.,NSE_EQ
TECHNOE,6445,Techno Electric & Engineering Company Ltd.,NSE_EQ
TEGA,7105,Tega Industries Ltd.,NSE_EQ
TEJASNET,21131,Tejas Networks Ltd.,NSE_EQ
TENNIND,759880,Tenneco Clean Air India Ltd.,NSE_EQ
THELEELA,757014,Leela Palaces Hotels & Resorts Ltd.,NSE_EQ
THERMAX,3475,Thermax Ltd.,NSE_EQ
TIINDIA,312,Tube Investments of India Ltd.,NSE_EQ
TIMKEN,14198,Timken India Ltd.,NSE_EQ
TITAGARH,15414,Titagarh Rail Systems Ltd.,NSE_EQ
TITAN,3506,Titan Company Ltd.,NSE_EQ
TMCV,759782,Tata Motors Ltd.,NSE_EQ
TMPV,3456,Tata Motors Passenger Vehicles Ltd.,NSE_EQ
TORNTPHARM,3518,Torrent Pharmaceuticals Ltd.,NSE_EQ
TORNTPOWER,13786,Torrent Power Ltd.,NSE_EQ
TRAVELFOOD,757545,Travel Food Services Ltd.,NSE_EQ
TRENT,1964,Trent Ltd.,NSE_EQ
TRIDENT,9685,Trident Ltd.,NSE_EQ
TRITURBINE,25584,Triveni Turbine Ltd.,NSE_EQ
TTML,8954,Tata Teleservices (Maharashtra) Ltd.,NSE_EQ
TVSMOTOR,8479,TVS Motor Company Ltd.,NSE_EQ
UBL,16713,United Breweries Ltd.,NSE_EQ
UCOBANK,11223,UCO Bank,NSE_EQ
ULTRACEMCO,11532,UltraTech Cement Ltd.,NSE_EQ
UNIONBANK,10753,Union Bank of India,NSE_EQ
UNITDSPR,10447,United Spirits Ltd.,NSE_EQ
UNOMINDA,14154,UNO Minda Ltd.,NSE_EQ
UPL,11287,UPL Ltd.,NSE_EQ
URBANCO,759084,Urban Company Ltd.,NSE_EQ
USHAMART,8840,Usha Martin Ltd.,NSE_EQ
UTIAMC,527,UTI Asset Management Company Ltd.,NSE_EQ
VBL,18921,Varun Beverages Ltd.,NSE_EQ
VEDL,3063,Vedanta Ltd.,NSE_EQ
VIJAYA,5585,Vijaya Diagnostic Centre Ltd.,NSE_EQ
VMM,27969,Vishal Mega Mart Ltd.,NSE_EQ
VOLTAS,3718,Voltas Ltd.,NSE_EQ
VTL,2073,Vardhman Textiles Ltd.,NSE_EQ
WAAREEENER,25907,Waaree Energies Ltd.,NSE_EQ
WELCORP,11821,Welspun Corp Ltd.,NSE_EQ
WELSPUNLIV,11253,Welspun Living Ltd.,NSE_EQ
WHIRLPOOL,18011,Whirlpool of India Ltd.,NSE_EQ
WIPRO,3787,Wipro Ltd.,NSE_EQ
WOCKPHARMA,7506,Wockhardt Ltd.,NSE_EQ
YESBANK,11915,Yes Bank Ltd.,NSE_EQ
ZEEL,3812,Zee Entertainment Enterprises Ltd.,NSE_EQ
ZENSARTECH,1076,Zensar Technolgies Ltd.,NSE_EQ
ZENTEC,7508,Zen Technologies Ltd.,NSE_EQ
ZFCVINDIA,16915,ZF Commercial Vehicle Control Systems India Ltd.,NSE_EQ
ZYDUSLIFE,7929,Zydus Lifesciences Ltd.,NSE_EQ
ZYDUSWELL,17635,Zydus Wellness Ltd.,NSE_EQ
