symbol,security_id,name,exchange_segment
CDSL,21174,Central Depository Services (India) Ltd.,NSE_EQ
CEATLTD,15254,Ceat Ltd.,NSE_EQ
CEMPRO,5622,Cemindia Projects Ltd.,NSE_EQ
CENTRALBK,14894,Central Bank of India,NSE_EQ
CESC,628,CESC Ltd.,NSE_EQ
CGCL,20329,Capri Global Capital Ltd.,NSE_EQ
CGPOWER,760,CG Power and Industrial Solutions Ltd.,NSE_EQ
CHALET,8546,Chalet Hotels Ltd.,NSE_EQ
CHAMBLFERT,637,Chambal Fertilizers & Chemicals Ltd.,NSE_EQ
CHENNPETRO,2049,Chennai Petroleum Corporation Ltd.,NSE_EQ
CHOICEIN,8866,Choice International Ltd.,NSE_EQ
CHOLAFIN,685,Cholamandalam Investment and Finance Company Ltd.,NSE_EQ
CHOLAHLDNG,21740,Cholamandalam Financial Holdings Ltd.,NSE_EQ
CIEINDIA,14937,CIE Automotive India Ltd.,NSE_EQ
CIPLA,694,Cipla Ltd.,NSE_EQ
CLEAN,5049,Clean Science and Technology Ltd.,NSE_EQ
COALINDIA,20374,Coal India Ltd.,NSE_EQ
COCHINSHIP,21508,Cochin Shipyard Ltd.,NSE_EQ
COFORGE,11543,Coforge Ltd.,NSE_EQ
COHANCE,17945,Cohance Lifesciences Ltd.,NSE_EQ
COLPAL,15141,Colgate Palmolive (India) Ltd.,NSE_EQ
CONCOR,4749,Container Corporation of India Ltd.,NSE_EQ
CONCORDBIO,18060,Concord Biotech Ltd.,NSE_EQ
COROMANDEL,739,Coromandel International Ltd.,NSE_EQ
CPPLUS,758858,Aditya Infotech Ltd.,NSE_EQ
CRAFTSMAN,2854,Craftsman Automation Ltd.,NSE_EQ
CREDITACC,4421,CreditAccess Grameen Ltd.,NSE_EQ
CRISIL,757,CRISIL Ltd.,NSE_EQ
CROMPTON,17094,Crompton Greaves Consumer Electricals Ltd.,NSE_EQ
CUB,5701,City Union Bank Ltd.,NSE_EQ
CUMMINSIND,1901,Cummins India Ltd.,NSE_EQ
CYIENT,5748,Cyient Ltd.,NSE_EQ
DABUR,772,Dabur India Ltd.,NSE_EQ
DALBHARAT,8075,Dalmia Bharat Ltd.,NSE_EQ
DATAPATTNS,7358,Data Patterns (India) Ltd.,NSE_EQ
DCMSHRIRAM,811,DCM Shriram Ltd.,NSE_EQ
DEEPAKFERT,827,Deepak Fertilisers & Petrochemicals Corp. Ltd.,NSE_EQ
DEEPAKNTR,19943,Deepak Nitrite Ltd.,NSE_EQ
DELHIVERY,9599,Delhivery Ltd.,NSE_EQ
DEVYANI,5373,Devyani International Ltd.,NSE_EQ
